Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
33101,1,NEW,2020,Chevrolet,Trax LS,,14497,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800116286/overview/
33101,1,USED,2014,Chevrolet,Equinox 1LT,,7990,Gasoline,White,22,,32,FWD,6-Speed Automatic,2.4,6,84555,4.5,https://www.cars.com/vehicledetail/detail/808254517/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,14488,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800116168/overview/
33101,1,USED,2016,Cadillac,ATS 2.0L Turbo Luxury,,16479,Gasoline,Black,22,Black,30,RWD,8-Speed Automatic,2.0,6,16500,4.6,https://www.cars.com/vehicledetail/detail/804267057/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12065,Gasoline,Summit White,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/794463265/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Red Hot,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/801898271/overview/
33101,1,USED,2016,Nissan,Maxima 3.5 SR,,14979,Gasoline,Brilliant Silver,22,Charcoal,30,FWD,Automatic CVT,3.5,6,21200,4.7,https://www.cars.com/vehicledetail/detail/804267075/overview/
33101,1,USED,2017,Aston,Martin DB11,,109990,Gasoline,,,,,RWD,8-Speed Automatic,5.2,12,12122,5,https://www.cars.com/vehicledetail/detail/800840443/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Mosaic Black,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/806267963/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Red Hot,29,Jet Black/Jet Black,38,FWD,Automatic,,,6,4.9,https://www.cars.com/vehicledetail/detail/798018926/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Raspberry,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/804537564/overview/
33101,1,NEW,2019,Nissan,Versa S Plus,,13047,Gasoline,Super Black,31,Charcoal,39,FWD,Variable,,,21,4.5,https://www.cars.com/vehicledetail/detail/760925465/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,13907,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407160/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Silver Ice,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/801898268/overview/
33101,1,USED,2008,Ford,Crown Victoria Police Interceptor,,3995,E85 Flex Fuel,Titanium,,Tan,,RWD,4-Speed Automatic,4.6,8,90403,4.5,https://www.cars.com/vehicledetail/detail/795644643/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,14497,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800116185/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Passion Fruit,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/801898269/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,13907,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/799587984/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Summit White,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806416125/overview/
33101,1,NEW,2020,Chevrolet,Spark 1LT,,14500,Gasoline,Passion,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/806761624/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Nightfall Gray,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806267771/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,13907,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407168/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,14493,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800413547/overview/
33101,1,USED,2018,Ford,Fiesta S Sedan 4D,,5500,Gasoline,,,,,FWD,"Auto, 6-Spd SelectShift",,,8390,4.6,https://www.cars.com/vehicledetail/detail/786677807/overview/
33101,1,USED,2020,Lamborghini,Urus Base,,259950,Gasoline,Bianco Monocerus,12,Nero Ade,17,AWD,8-Speed Automatic,4.0,8,362,,https://www.cars.com/vehicledetail/detail/806218399/overview/
33101,1,USED,2017,Nissan,Sentra SV,,5500,Gasoline,,29,,37,FWD,"Auto, CVT w/Xtronic",,,24510,4.7,https://www.cars.com/vehicledetail/detail/795234955/overview/
33101,1,USED,2018,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,,48800,Gasoline,Gray Metallic,17,Black,22,AWD,9-Speed Automatic,3.0,6,31875,5,https://www.cars.com/vehicledetail/detail/792117318/overview/
33101,1,USED,2015,Chevrolet,Impala 1LT,,8990,Gasoline,,22,,31,FWD,"Auto, 6-Spd Overdrive",,,19298,4.7,https://www.cars.com/vehicledetail/detail/786677857/overview/
