Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
63123,1,NEW,2020,Nissan,Versa S,,16943,Gasoline,Cloud White,27,Charcoal,35,FWD,Automatic CVT,1.6,6,,4.5,https://www.cars.com/vehicledetail/detail/784266157/overview/
63123,1,NEW,2020,Nissan,Rogue Sport SV,,22545,Gasoline,Gun Metallic,25,Charcoal,32,FWD,Automatic CVT,2.0,6,3,4.7,https://www.cars.com/vehicledetail/detail/805684519/overview/
63123,1,NEW,2020,Nissan,Rogue SL,,28850,Gasoline,Magnetic Black,26,Charcoal,33,FWD,Automatic CVT,2.5,6,10,4.6,https://www.cars.com/vehicledetail/detail/800479857/overview/
63123,1,NEW,2019,Nissan,Kicks SV,,20694,Gasoline,Deep Blue Pearl,31,Charcoal,36,FWD,Automatic CVT,1.6,6,,4.4,https://www.cars.com/vehicledetail/detail/791463435/overview/
63123,1,NEW,2020,Buick,Enclave Avenir,,47651,Gasoline,White Frost Tri-Coat,18,Ebony,26,AWD,9-Speed Automatic,3.6,6,7,5,https://www.cars.com/vehicledetail/detail/806630912/overview/
63123,1,NEW,2020,Chevrolet,Spark LS,,12596,Gasoline,Raspberry,29,Black,38,FWD,Automatic CVT,1.4,6,3,4.9,https://www.cars.com/vehicledetail/detail/796785159/overview/
63123,1,NEW,2019,Nissan,Kicks SR,,18600,Gasoline,Super Black,31,Charcoal,36,FWD,Automatic CVT,1.6,6,,4.4,https://www.cars.com/vehicledetail/detail/779426190/overview/
63123,1,NEW,2020,Nissan,Versa S,,14353,Gasoline,Electric Blue Metallic,27,Charcoal,35,FWD,5-Speed Manual,1.6,6,,4.5,https://www.cars.com/vehicledetail/detail/797795998/overview/
63123,1,NEW,2020,Nissan,Versa S,,14353,Gasoline,Brilliant Silver Metallic,27,Charcoal,35,FWD,5-Speed Manual,1.6,6,,4.5,https://www.cars.com/vehicledetail/detail/796943062/overview/
63123,1,NEW,2020,Nissan,Versa S,,15971,Gasoline,Gun Metallic,27,Charcoal,35,FWD,Automatic CVT,1.6,6,,4.5,https://www.cars.com/vehicledetail/detail/793429447/overview/
63123,1,NEW,2019,Nissan,Kicks SR,,19361,Gasoline,Cayenne Red Metallic,31,Char Prima-Tex Appointed,36,FWD,,,,12,4.4,https://www.cars.com/vehicledetail/detail/788108017/overview/
63123,1,NEW,2020,Nissan,Kicks S,,19210,Gasoline,Brilliant Silver,31,Charcoal,36,FWD,Automatic CVT,1.6,6,,4,https://www.cars.com/vehicledetail/detail/797500013/overview/
63123,1,NEW,2020,Nissan,Rogue SL,,31153,Gasoline,White,26,Beige,33,FWD,Automatic CVT,2.5,6,5,4.6,https://www.cars.com/vehicledetail/detail/807724941/overview/
63123,1,NEW,2020,Buick,Envision Essence,,30731,Gasoline,Ebony Twilight Metallic,21,Ebony,27,FWD,6-Speed Automatic,2.5,6,7,4.8,https://www.cars.com/vehicledetail/detail/786600320/overview/
63123,1,NEW,2020,Nissan,Rogue SV,,24353,Gasoline,Brilliant Silver Metallic,26,Charcoal,33,FWD,Automatic CVT,2.5,6,,4.6,https://www.cars.com/vehicledetail/detail/807761829/overview/
63123,1,NEW,2020,Nissan,Kicks SR,,22173,Gasoline,Deep Blue Pearl / Fresh Powder,31,Charcoal,36,FWD,Automatic CVT,1.6,6,3,4,https://www.cars.com/vehicledetail/detail/797266126/overview/
63123,1,NEW,2020,Buick,Enclave Avenir,,49467,Gasoline,Ebony Twilight Metallic,18,Ebony,26,AWD,9-Speed Automatic,3.6,6,7,5,https://www.cars.com/vehicledetail/detail/806630195/overview/
63123,1,USED,2018,Mercedes-Benz,G 550 4x4 Squared Base,,193950,Gasoline,Polar White,11,Black Dinamica,11,AWD,Automatic,,,16630,5,https://www.cars.com/vehicledetail/detail/772405859/overview/
63123,1,NEW,2020,Chevrolet,Spark LS,,12953,Gasoline,Caribbean Blue,29,Black,38,FWD,Automatic CVT,1.4,6,3,4.9,https://www.cars.com/vehicledetail/detail/797047464/overview/
