Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
63123,1,NEW,2020,Nissan,Kicks SR,,22044,Gasoline,Super Black,31,Charcoal,36,FWD,Automatic CVT,1.6,6,5,4,https://www.cars.com/vehicledetail/detail/799062109/overview/
63123,1,USED,2008,Lexus,IS-F Base,,21900,Gasoline,Obsidian Black,16,Black,23,RWD,8-Speed Automatic,5.0,8,85000,5,https://www.cars.com/vehicledetail/detail/806932753/overview/
63123,1,NEW,2020,Nissan,Rogue Sport SV,,23600,Gasoline,Caspian Blue,25,Light Gray,32,AWD,Automatic CVT,2.0,6,,4.7,https://www.cars.com/vehicledetail/detail/799885231/overview/
63123,1,NEW,2020,Nissan,Versa S,,16090,Gasoline,Electric Blue Metallic,27,Charcoal,35,FWD,Automatic CVT,1.6,6,10,4.6,https://www.cars.com/vehicledetail/detail/805693137/overview/
63123,1,NEW,2020,Nissan,Versa 1.6 SR,,17600,Gasoline,Gun Metallic,32,Gray,40,FWD,Automatic CVT,1.6,6,,4.6,https://www.cars.com/vehicledetail/detail/788041513/overview/
63123,1,USED,2013,Scion,xD,,11500,Gasoline,White,,Black,,FWD,5-Speed Manual,1.8,6,40379,4,https://www.cars.com/vehicledetail/detail/808488943/overview/?isShippableInsideSearchRadius
63123,1,NEW,2020,Buick,Enclave Avenir,,44854,Gasoline,Ebony Twilight Metallic,18,Ebony,26,FWD,9-Speed Automatic,3.6,6,7,5,https://www.cars.com/vehicledetail/detail/806034732/overview/
63123,1,NEW,2020,Nissan,Rogue SV,,25885,Gasoline,White,26,Charcoal,33,AWD,Automatic CVT,2.5,6,,4.6,https://www.cars.com/vehicledetail/detail/805104247/overview/
63123,1,NEW,2020,Buick,Enclave Avenir,,45454,Gasoline,White Frost Tri-Coat,18,Ebony,26,FWD,9-Speed Automatic,3.6,6,7,5,https://www.cars.com/vehicledetail/detail/806751733/overview/
63123,1,NEW,2020,Nissan,Versa S,,15971,Gasoline,Gun Metallic,27,Charcoal,35,FWD,Automatic CVT,1.6,6,,4.6,https://www.cars.com/vehicledetail/detail/793429447/overview/
63123,1,NEW,2020,Nissan,Versa 1.6 SV,,17585,Gasoline,Aspen White,32,Graphite,40,FWD,Automatic CVT,1.6,6,,4.6,https://www.cars.com/vehicledetail/detail/796204391/overview/
63123,1,NEW,2019,Nissan,Kicks SV,,18879,Gasoline,Super Black,31,Charcoal,36,FWD,Automatic CVT,1.6,6,,4.4,https://www.cars.com/vehicledetail/detail/787635527/overview/
63123,1,NEW,2020,Buick,Enclave Avenir,,50067,Gasoline,White Frost Tri-Coat,18,Chestnut,26,AWD,9-Speed Automatic,3.6,6,7,5,https://www.cars.com/vehicledetail/detail/807479480/overview/
63123,1,NEW,2020,Nissan,Rogue SV,,25373,Gasoline,Magnetic Black,26,Charcoal,33,AWD,Automatic CVT,2.5,6,,4.6,https://www.cars.com/vehicledetail/detail/805207117/overview/
63123,1,USED,2013,MINI,Roadster Cooper S,,16300,Gasoline,White,26,Brown,35,FWD,6-Speed Automatic,1.6,6,23014,5,https://www.cars.com/vehicledetail/detail/808489092/overview/?isShippableInsideSearchRadius
63123,1,NEW,2020,Buick,Envision Essence,,28484,Gasoline,Summit White,21,Light Neutral,27,FWD,6-Speed Automatic,2.5,6,7,4.8,https://www.cars.com/vehicledetail/detail/805026593/overview/
63123,1,NEW,2020,Chevrolet,Trax LS,,17789,Gasoline,Summit White / White,26,Jet Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/799450811/overview/
63123,1,NEW,2020,Nissan,Rogue SV,,26113,Gasoline,Caspian Blue,26,Charcoal,33,FWD,Automatic CVT,2.5,6,,4.6,https://www.cars.com/vehicledetail/detail/803394517/overview/
63123,1,USED,2013,Ford,E250 Cargo,,15999,Gasoline,White,13,Gray,17,RWD,4-Speed Automatic,4.6,8,56705,5,https://www.cars.com/vehicledetail/detail/808326694/overview/
63123,1,NEW,2020,Chevrolet,Spark LS,,12953,Gasoline,Caribbean Blue,29,Black,38,FWD,Automatic CVT,1.4,6,3,4.9,https://www.cars.com/vehicledetail/detail/799924659/overview/
63123,1,NEW,2020,Nissan,Kicks SV,,20465,Gasoline,Brilliant Silver,31,Charcoal,36,FWD,Automatic CVT,1.6,6,3,4,https://www.cars.com/vehicledetail/detail/798862701/overview/
63123,1,NEW,2020,Chevrolet,Spark LS,,13340,Gasoline,Caribbean Blue,29,Black,38,FWD,Automatic CVT,1.4,6,2,4.9,https://www.cars.com/vehicledetail/detail/807908950/overview/
63123,1,NEW,2020,Chevrolet,Spark LS,,11853,Gasoline,Silver Ice,29,Jet Black/Jet Black,38,FWD,Automatic,,,5,4.9,https://www.cars.com/vehicledetail/detail/792045864/overview/
