Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
84044,1,USED,2019,Honda,Passport Touring,,26987,Gasoline,Modern Steel Metallic,20,Black,25,AWD,9-Speed Automatic,3.5,6,10954,4.5,https://www.cars.com/vehicledetail/detail/808258368/overview/
84044,1,USED,2018,INFINITI,QX60 Base,,22992,Gasoline,White,20,Beige,27,AWD,Automatic CVT,3.5,6,45516,4.9,https://www.cars.com/vehicledetail/detail/805326183/overview/
84044,1,USED,2015,Volkswagen,Golf GTI,,12500,Gasoline,Deep Black Pearl,,Titan Black,,FWD,6-Speed Automatic with Auto-Shift,2.0,6,34194,4.9,https://www.cars.com/vehicledetail/detail/786284513/overview/
84044,1,USED,2015,Subaru,Legacy 3.6R Limited,,12500,Gasoline,Ice Silver Metallic,20,Black,29,AWD,Automatic CVT,3.6,4,32847,4.6,https://www.cars.com/vehicledetail/detail/808258356/overview/
84044,1,USED,2018,Jaguar,F-PACE 25t Premium,,27899,Gasoline,Caesium Blue,22,Ebony,27,AWD,8-Speed Automatic,2.0,6,3849,4.7,https://www.cars.com/vehicledetail/detail/807920492/overview/
84044,1,USED,2015,Chevrolet,Tahoe LTZ,,34371,Gasoline,Black,16,Cocoa / Dune,22,4WD,6-Speed Automatic,5.3,8,18634,4.6,https://www.cars.com/vehicledetail/detail/800669379/overview/
84044,1,USED,2011,INFINITI,G37 Journey,,5995,Gasoline,Blue Slate,19,Stone,27,RWD,7-Speed Automatic,3.7,6,79999,4.7,https://www.cars.com/vehicledetail/detail/792168525/overview/
84044,1,USED,2016,Kia,Optima EX,,12500,Gasoline,Ebony Black,24,Gray,35,FWD,6-Speed Automatic,2.4,6,35183,4.8,https://www.cars.com/vehicledetail/detail/808258355/overview/
84044,1,USED,2013,Dodge,Grand Caravan SXT,,5690,E85 Flex Fuel,True Blue Pearl,17,Black,25,FWD,Automatic,3.6,6,87812,4.2,https://www.cars.com/vehicledetail/detail/808077699/overview/
84044,1,USED,2016,Land Rover,LR4 Base,,25499,Gasoline,Aintree Green,15,Almond / Arabica,19,4WD,8-Speed Automatic,3.0,6,52049,4.8,https://www.cars.com/vehicledetail/detail/806189470/overview/
