Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
58001,1,USED,2014,GMC,Sierra 1500 SLE,,25990,Gasoline,Summit White,17,Jet Black,22,4WD,6-Speed Automatic,5.3,8,38500,4.4,https://www.cars.com/vehicledetail/detail/786031581/overview/
58001,1,USED,2016,Ford,F-150 Lariat,,32490,Gasoline,White,19,Medium Light Camel,26,4WD,6-Speed Automatic,3.5,6,43714,4.7,https://www.cars.com/vehicledetail/detail/807536355/overview/
58001,1,USED,2012,GMC,Acadia SLT-2,,7990,Gasoline,Dark Blue Metallic,17,Light Titanium,24,AWD,6-Speed Automatic,3.6,6,175724,4.4,https://www.cars.com/vehicledetail/detail/804203345/overview/
58001,1,USED,2017,GMC,Acadia Limited Limited,,27990,Gasoline,White Frost Tri-Coat,15,Ebony,22,AWD,6-Speed Automatic,3.6,6,32224,4.8,https://www.cars.com/vehicledetail/detail/807263946/overview/
58001,1,USED,2017,Buick,Envision Essence,,24990,Gasoline,Summit White,22,Light Neutral,29,AWD,6-Speed Automatic,2.5,6,29067,4.9,https://www.cars.com/vehicledetail/detail/806981025/overview/
58001,1,USED,2015,Chevrolet,Traverse 2LT,,14490,Gasoline,White,16,Ebony,23,AWD,6-Speed Automatic,3.6,6,106227,4.5,https://www.cars.com/vehicledetail/detail/801703604/overview/
58001,1,USED,2017,Chevrolet,Equinox LT,,16990,Gasoline,Patriot Blue Metallic,21,Jet Black,31,AWD,6-Speed Automatic,2.4,6,47053,4.8,https://www.cars.com/vehicledetail/detail/792892209/overview/
58001,1,USED,2018,GMC,Sierra 2500 Denali,,51490,Diesel,Quicksilver Metallic,,Jet Black,,4WD,6-Speed Automatic,6.6,8,57108,4.8,https://www.cars.com/vehicledetail/detail/803918950/overview/
58001,1,USED,2014,GMC,Sierra 2500 SLT,,33990,Diesel,Onyx Black,,Ebony,,4WD,6-Speed Automatic,6.6,8,88167,4.3,https://www.cars.com/vehicledetail/detail/795413079/overview/
58001,1,USED,2018,Chevrolet,Equinox 1LT,,21490,Gasoline,Mosaic Black Metallic,26,Jet Black,32,AWD,6-Speed Automatic,1.5,6,19230,4.7,https://www.cars.com/vehicledetail/detail/800181270/overview/
58001,1,USED,2019,Chevrolet,Suburban Premier,,56990,Gasoline,Summit White,14,Cocoa,21,4WD,Automatic,5.3,8,13976,4.7,https://www.cars.com/vehicledetail/detail/804639480/overview/
58001,1,USED,2019,Dodge,Grand Caravan SXT,,21000,E85 Flex Fuel,White Knuckle Clearcoat,17,Black,25,FWD,Automatic,3.6,6,21664,4.7,https://www.cars.com/vehicledetail/detail/783232837/overview/
58001,1,USED,2014,Mazda,Mazda6 i Sport,,7990,Gasoline,Jet Black Mica,25,Black,37,FWD,6-Speed Automatic,2.5,6,137478,4.8,https://www.cars.com/vehicledetail/detail/801836426/overview/
58001,1,USED,2019,Cadillac,XT5 Premium Luxury,,37990,Gasoline,Crystal White Tri-Coat,18,Shara Beige,25,AWD,8-Speed Automatic,3.6,6,21361,4.3,https://www.cars.com/vehicledetail/detail/800394769/overview/
58001,1,USED,2000,Pontiac,Grand Prix GT,,2990,Gasoline,Dark Bronzemist Metallic,20,Graphite,29,FWD,4-Speed Automatic,3.8,6,197402,4.6,https://www.cars.com/vehicledetail/detail/807416375/overview/
58001,1,USED,2016,Ford,Explorer Limited,,27990,Gasoline,White Platinum Tri-Coat Metallic,16,Ebony Black,23,4WD,6-Speed Automatic,2.3,6,44378,4.5,https://www.cars.com/vehicledetail/detail/801353711/overview/
58001,1,USED,2015,GMC,Sierra 1500 Denali,,26490,Gasoline,Bronze Alloy Metallic,16,Cocoa,22,4WD,Automatic,5.3,8,102978,4.6,https://www.cars.com/vehicledetail/detail/806981035/overview/
58001,1,USED,2016,Buick,Encore Sport Touring,,17490,Gasoline,White Pearl Tri-Coat,28,Ebony,34,AWD,6-Speed Automatic,1.4,6,36976,4.7,https://www.cars.com/vehicledetail/detail/806402869/overview/
58001,1,USED,2017,Chevrolet,Traverse 1LT,,17490,Gasoline,Blue Velvet Metallic,15,Ebony,22,AWD,6-Speed Automatic,3.6,6,78784,4.8,https://www.cars.com/vehicledetail/detail/805457541/overview/
58001,1,USED,2017,Cadillac,XT5 Luxury,,28990,Gasoline,Dark Granite Metallic,19,Cirrus,27,AWD,8-Speed Automatic,3.6,6,35509,4.6,https://www.cars.com/vehicledetail/detail/805808078/overview/
