Zipcode,Page,NewUsed,Year,Make,MSRP,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,URL,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
7097,1,USED,2016,INFINITI,,21495.0,Gasoline,18.0,24.0,AWD,3.7,3.7,27344.0,5.0,https://www.cars.com/vehicledetail/detail/804855388/overview/,Tier_2,black,silver,automatic,7
7097,1,NEW,2020,Chevrolet,,20056.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/799941693/overview/,Tier_1,black,black,automatic,6
7097,1,USED,2016,Hyundai,,23900.0,Gasoline,15.0,23.0,RWD,5.0,5.0,26641.0,4.8,https://www.cars.com/vehicledetail/detail/797401178/overview/,Tier_1,black,black,automatic,8
7097,1,USED,2019,Cadillac,,36500.0,Gasoline,25.0,31.0,AWD,3.6,3.6,3369.0,4.8,https://www.cars.com/vehicledetail/detail/795839885/overview/,Tier_1,white,NA,automatic,10
7097,1,USED,2015,Maserati,,25995.0,Gasoline,15.0,24.0,AWD,3.0,3.0,36987.0,5.0,https://www.cars.com/vehicledetail/detail/807898352/overview/,Tier_4,OTHER,OTHER,automatic,8
7097,1,USED,2011,Chrysler,,4415.0,E85 Flex Fuel,17.0,25.0,FWD,3.6,3.6,117007.0,4.8,https://www.cars.com/vehicledetail/detail/782877626/overview/,Tier_2,white,NA,automatic,NA
7097,1,NEW,2019,Kia,,21475.0,Hybrid,51.0,46.0,FWD,1.6,1.6,10.0,4.5,https://www.cars.com/vehicledetail/detail/798081009/overview/,Tier_1,black,black,automatic,6
7097,1,USED,2006,INFINITI,,2999.0,Gasoline,17.0,24.0,AWD,3.5,3.5,136152.0,4.8,https://www.cars.com/vehicledetail/detail/801022626/overview/,Tier_2,silver,OTHER,automatic,5
7097,1,USED,2016,BMW,,14905.0,Gasoline,22.0,32.0,AWD,2.0,2.0,36343.0,4.6,https://www.cars.com/vehicledetail/detail/805817479/overview/,Tier_2,white,OTHER,automatic,8
7097,1,USED,2009,Toyota,,2900.0,Gasoline,29.0,36.0,FWD,1.5,1.5,83699.0,4.7,https://www.cars.com/vehicledetail/detail/801113488/overview/,Tier_1,black,black,automatic,4
7097,1,USED,2018,Chevrolet,,14500.0,Gasoline,19.0,28.0,FWD,3.6,3.6,35274.0,4.8,https://www.cars.com/vehicledetail/detail/786805292/overview/,Tier_1,silver,black,automatic,6
7097,1,USED,2016,Audi,,30995.0,Gasoline,19.0,29.0,AWD,3.0,3.0,22754.0,4.9,https://www.cars.com/vehicledetail/detail/808114038/overview/,Tier_2,white,black,automatic,8
7097,1,USED,2013,Volkswagen,,9895.0,Gasoline,21.0,32.0,FWD,2.0,2.0,42788.0,4.6,https://www.cars.com/vehicledetail/detail/802862359/overview/,Tier_2,brown,brown,automatic,6
7097,1,USED,2018,GMC,,17900.0,Gasoline,21.0,26.0,AWD,2.5,2.5,16154.0,4.7,https://www.cars.com/vehicledetail/detail/788423361/overview/,Tier_1,silver,black,automatic,6
7097,1,USED,2005,Mercury,,2995.0,Gasoline,18.0,25.0,RWD,4.6,4.6,105383.0,4.7,https://www.cars.com/vehicledetail/detail/805421460/overview/,Tier_3,black,brown,automatic,4
7097,1,USED,2014,Toyota,,11995.0,Hybrid,25.0,31.0,FWD,1.8,1.8,73642.0,4.7,https://www.cars.com/vehicledetail/detail/799934856/overview/,Tier_1,white,gray,automatic,NA
7097,1,NEW,2020,Chevrolet,,20056.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/796636761/overview/,Tier_1,gray,black,automatic,6
7097,1,USED,2010,Chrysler,,4999.0,Gasoline,16.0,23.0,FWD,3.8,3.8,105696.0,4.4,https://www.cars.com/vehicledetail/detail/803586751/overview/,Tier_2,black,gray,automatic,NA
7097,1,USED,2014,Nissan,,15995.0,Gasoline,17.0,22.0,AWD,3.5,3.5,39535.0,4.5,https://www.cars.com/vehicledetail/detail/803478997/overview/,Tier_1,metallic,black,automatic,NA
7097,1,USED,2018,Buick,,13500.0,Gasoline,25.0,33.0,FWD,1.4,1.4,68.0,4.8,https://www.cars.com/vehicledetail/detail/799660758/overview/,Tier_1,black,black,automatic,6
7097,1,USED,2013,Nissan,,5995.0,Gasoline,30.0,39.0,FWD,1.8,1.8,76230.0,3.8,https://www.cars.com/vehicledetail/detail/750742447/overview/,Tier_1,gray,black,automatic,NA
7097,1,USED,2018,Chevrolet,,15500.0,Gasoline,26.0,32.0,AWD,1.5,1.5,27358.0,4.7,https://www.cars.com/vehicledetail/detail/788699828/overview/,Tier_1,silver,black,automatic,6
7097,1,USED,2009,INFINITI,,9995.0,Gasoline,16.0,23.0,AWD,3.5,3.5,54058.0,4.6,https://www.cars.com/vehicledetail/detail/793411903/overview/,Tier_2,metallic,NA,automatic,7
7097,1,USED,2015,Rolls-Royce,,139995.0,Gasoline,13.0,21.0,RWD,6.6,6.6,17747.0,5.0,https://www.cars.com/vehicledetail/detail/807524279/overview/,Tier_4,OTHER,OTHER,automatic,8
7097,1,USED,2004,INFINITI,,4995.0,Gasoline,15.0,19.0,AWD,4.5,4.5,165000.0,4.8,https://www.cars.com/vehicledetail/detail/797251207/overview/,Tier_2,OTHER,black,automatic,5
7097,1,USED,2015,Jaguar,,24495.0,Gasoline,16.0,24.0,AWD,3.0,3.0,54355.0,5.0,https://www.cars.com/vehicledetail/detail/775870502/overview/,Tier_2,OTHER,OTHER,automatic,8
7097,1,USED,2009,INFINITI,,10995.0,Gasoline,16.0,23.0,AWD,3.5,3.5,89789.0,4.6,https://www.cars.com/vehicledetail/detail/777202147/overview/,Tier_2,black,black,automatic,7
7097,1,USED,2018,Buick,,21500.0,Gasoline,18.0,26.0,AWD,3.6,3.6,29281.0,4.7,https://www.cars.com/vehicledetail/detail/790040272/overview/,Tier_1,metallic,OTHER,automatic,9
7097,1,USED,2016,Lexus,,39995.0,Gasoline,16.0,25.0,RWD,5.0,5.0,36243.0,5.0,https://www.cars.com/vehicledetail/detail/806811844/overview/,Tier_2,white,red,automatic,8
7097,1,USED,2018,Mercedes-Benz,,59950.0,Gasoline,15.0,22.0,AWD,4.0,4.0,11001.0,5.0,https://www.cars.com/vehicledetail/detail/802330330/overview/,Tier_2,black,red,automatic,9
7097,1,USED,2012,Nissan,,14895.0,Gasoline,17.0,22.0,AWD,3.5,3.5,47763.0,3.4,https://www.cars.com/vehicledetail/detail/805851506/overview/,Tier_1,silver,black,automatic,NA
7097,1,USED,2017,BMW,,25989.0,Gasoline,21.0,32.0,RWD,3.0,3.0,40369.0,4.8,https://www.cars.com/vehicledetail/detail/798357590/overview/,Tier_2,gray,black,manual,6
7097,1,USED,2011,Acura,,5995.0,Gasoline,25.0,31.0,AWD,3.7,3.7,110000.0,4.9,https://www.cars.com/vehicledetail/detail/793411961/overview/,Tier_3,black,NA,automatic,5
7097,1,USED,2014,Toyota,,5900.0,Gasoline,25.0,35.0,FWD,2.5,2.5,122413.0,4.6,https://www.cars.com/vehicledetail/detail/807247021/overview/,Tier_1,black,black,automatic,6
7097,1,USED,2007,Jaguar,,17990.0,Gasoline,17.0,25.0,RWD,4.2,4.2,51797.0,4.8,https://www.cars.com/vehicledetail/detail/805878113/overview/,Tier_2,silver,brown,automatic,6
7097,1,USED,2004,Lexus,,10990.0,Gasoline,25.0,31.0,RWD,4.3,4.3,100074.0,,https://www.cars.com/vehicledetail/detail/803080362/overview/,Tier_2,black,NA,automatic,NA
7097,1,USED,2018,Lexus,,69130.0,Gasoline,16.0,26.0,RWD,2.3,2.3,10120.0,4.8,https://www.cars.com/vehicledetail/detail/802090932/overview/,Tier_2,white,white,automatic,NA
7097,1,USED,2005,Subaru,,9590.0,Gasoline,21.0,27.0,AWD,2.5,2.5,81914.0,4.6,https://www.cars.com/vehicledetail/detail/804779783/overview/,Tier_2,silver,gray,manual,5
