Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
7097,1,USED,2016,INFINITI,Q70 3.7X,,21495,Gasoline,Black,18,Graphite,24,AWD,7-Speed Automatic,3.7,6,27344,5,https://www.cars.com/vehicledetail/detail/804855388/overview/
7097,1,NEW,2020,Chevrolet,Trax LS,,20056,Gasoline,Mosaic Black Metallic,26,Jet Black,31,AWD,6-Speed Automatic,1.4,6,0,4.6,https://www.cars.com/vehicledetail/detail/799941693/overview/
7097,1,USED,2016,Hyundai,Equus Signature,,23900,Gasoline,Caspian Black,15,Black,23,RWD,8-Speed Automatic,5,8,26641,4.8,https://www.cars.com/vehicledetail/detail/797401178/overview/
7097,1,USED,2019,Cadillac,CT6 Luxury,,36500,Gasoline,Crystal White Tri-Coat,,,,AWD,10-Speed Automatic,3.6,6,3369,4.8,https://www.cars.com/vehicledetail/detail/795839885/overview/
7097,1,USED,2015,Maserati,Quattroporte S Q4,,25995,Gasoline,Nero,15,Sabbia,24,AWD,8-Speed Automatic,3,6,36987,5,https://www.cars.com/vehicledetail/detail/807898352/overview/
7097,1,USED,2011,Chrysler,Town & Country Touring,,4415,E85 Flex Fuel,White,17,,25,FWD,Automatic,3.6,6,117007,4.8,https://www.cars.com/vehicledetail/detail/782877626/overview/
7097,1,NEW,2019,Kia,Niro LX,,21475,Hybrid,Aurora Black,51,Charcoal,46,FWD,6-Speed Automatic with Auto-Shift,1.6,6,10,4.5,https://www.cars.com/vehicledetail/detail/798081009/overview/
7097,1,USED,2006,INFINITI,M35x Base,,2999,Gasoline,Diamond Graphite Metallic,17,Bourbon,24,AWD,5-Speed Automatic,3.5,6,136152,4.8,https://www.cars.com/vehicledetail/detail/801022626/overview/
7097,1,USED,2016,BMW,X1 xDrive 28i,,14905,Gasoline,Alpine White,22,Mocha,32,AWD,8-Speed Automatic,2,6,36343,4.6,https://www.cars.com/vehicledetail/detail/805817479/overview/
7097,1,USED,2009,Toyota,Yaris,,2900,Gasoline,Black Sand Pearl,29,Dark Charcoal,36,FWD,4-Speed Automatic,1.5,6,83699,4.7,https://www.cars.com/vehicledetail/detail/801113488/overview/
7097,1,USED,2018,Chevrolet,Impala 2LZ,,14500,Gasoline,Silver,19,Jet Black / Light Wheat,28,FWD,6-Speed Automatic,3.6,6,35274,4.8,https://www.cars.com/vehicledetail/detail/786805292/overview/
7097,1,USED,2016,Audi,A8 L 3.0T,,30995,Gasoline,Glacier White Metallic,19,Black,29,AWD,8-Speed Automatic,3,6,22754,4.9,https://www.cars.com/vehicledetail/detail/808114038/overview/
7097,1,USED,2013,Volkswagen,CC 2.0T R-Line,,9895,Gasoline,Brown,21,Desert Beige,32,FWD,6-Speed Automatic with Auto-Shift,2,6,42788,4.6,https://www.cars.com/vehicledetail/detail/802862359/overview/
7097,1,USED,2018,GMC,Acadia SLE-2,,17900,Gasoline,Quicksilver Metallic,21,Jet Black,26,AWD,6-Speed Automatic,2.5,6,16154,4.7,https://www.cars.com/vehicledetail/detail/788423361/overview/
