State,Abbr,PercentObese
Alabama,AL,32.1
Alaska,AK,27.2
Arizona,AZ,26.3
Arkansas,AR,33
California,CA,23.9
Colorado,CO,20.3
Connecticut,CT,24.9
Delaware,DE,28.5
Florida,FL,26
Georgia,GA,27.1
Hawaii,HI,19
Idaho,ID,24.2
Illinois,IL,27.3
Indiana,IN,31.4
Iowa,IA,31.1
Kansas,KS,29.3
Kentucky,KY,31.5
Louisiana,LA,33.2
Maine,ME,25.9
Maryland,MD,26.6
Massachusetts,MA,24
Michigan,MI,30.8
Minnesota,MN,24.8
Mississippi,MS,35.2
Missouri,MO,30.9
Montana,MT,23.5
Nebraska,NE,28.8
Nevada,NV,26.8
New Hampshire,NH,27.1
New Jersey,NJ,26.2
New Mexico,NM,28
New York,NY,24.7
North Carolina,NC,28.3
North Dakota,ND,28.6
Ohio,OH,29.9
Oklahoma,OK,32.6
Oregon,OR,25.1
Pennsylvania,PA,28.6
Rhode Island,RI,27.9
South Carolina,SC,28.6
South Dakota,SD,24.6
Tennessee,TN,28.4
Texas,TX,29.7
Utah,UT,25.1
Vermont,VT,26.8
Virginia,VA,27.2
Washington,WA,25.5
West Virginia,WV,34.3
Wisconsin,WI,28.8
Wyoming,WY,27.4
